lot_no,material,supplier,released,expiry
L2025-2472,RES-EP-2400,TENSA COMPOSITES,Y,2028-10-31
L2024-1187,RES-EP-2400,HELIOS ADHESIVES,Y,2027-04-10
L2025-9549,RES-EP-2400,VESTRA POLYMERS,Y,2025-12-11
L2024-0615,RES-EP-2400,VESTRA POLYMERS,N,2028-03-23
L2025-1145,RES-EP-2600,CARBOLINE FIBRES,Y,2027-04-06
L2026-6956,RES-EP-2600,VESTRA POLYMERS,Y,2028-08-05
L2024-3658,RES-EP-2600,KESTREL FASTENERS,Y,2025-10-10
L2026-1014,RES-EP-2600,HELIOS ADHESIVES,N,2028-08-25
L2025-0813,HRD-AM-1150,CARBOLINE FIBRES,Y,2027-02-20
L2026-2182,HRD-AM-1150,AXIOM RESINS,Y,2028-03-08
L2024-8859,HRD-AM-1150,VESTRA POLYMERS,Y,2025-11-08
L2025-9180,HRD-AM-1150,KESTREL FASTENERS,N,2027-07-08
L2024-9529,HRD-AM-1180,HELIOS ADHESIVES,Y,2028-10-19
L2024-6102,HRD-AM-1180,VESTRA POLYMERS,Y,2028-07-17
L2026-1029,HRD-AM-1180,HELIOS ADHESIVES,Y,2026-07-28
L2026-3375,HRD-AM-1180,TENSA COMPOSITES,N,2028-11-30
L2026-7006,FAB-CF-0600,AXIOM RESINS,Y,2028-04-24
L2026-7425,FAB-CF-0600,AXIOM RESINS,Y,2027-11-06
L2024-2946,FAB-CF-0600,KESTREL FASTENERS,Y,2026-04-25
L2024-9412,FAB-CF-0600,AXIOM RESINS,N,2028-06-24
L2025-5628,FAB-GF-1200,KESTREL FASTENERS,Y,2028-04-07
L2025-9978,FAB-GF-1200,VESTRA POLYMERS,Y,2027-05-04
L2026-6851,FAB-GF-1200,CARBOLINE FIBRES,Y,2025-08-05
L2025-2491,FAB-GF-1200,TENSA COMPOSITES,N,2028-03-10
L2024-1272,ADH-MA-0320,HELIOS ADHESIVES,Y,2028-08-12
L2025-5573,ADH-MA-0320,KESTREL FASTENERS,Y,2027-12-28
L2026-8138,ADH-MA-0320,HELIOS ADHESIVES,Y,2026-01-06
L2024-1534,ADH-MA-0320,AXIOM RESINS,N,2028-05-03
L2026-1065,FST-ST-0880,VESTRA POLYMERS,Y,2029-01-21
L2026-5073,FST-ST-0880,KESTREL FASTENERS,Y,2028-08-17
L2026-7302,FST-ST-0880,AXIOM RESINS,Y,2025-08-26
L2025-5686,FST-ST-0880,VESTRA POLYMERS,N,2028-04-20
