code,product_name,brand,pack_size,category,allergens
0039047001442,Shortbread Highlanders,Walkers,200G,biscuits,gluten|milk|nuts
0039047011496,Pure butter shortbread,Walkers,125g,biscuits,gluten|milk|nuts|soybeans
0061232200293,Oatcakes - Organic,Nairn's,250 g,biscuits,gluten|milk|nuts
0061232200545,Fine Milled Oatcakes,nairn's,4 pouches of 8 o,biscuits,gluten
0061232201047,Stem Ginger Oat Biscuits,Nairn's,200 g,biscuits,gluten
0061232201948,Cheese Oatcakes,nairn's,200 g,biscuits,gluten|milk
0061232202556,Dark Chocolate Chip Oat Biscuits,nairn's,200 g,biscuits,gluten|soybeans
0061232202952,Fine Milled Oatcakes,Nairn's,218 g,biscuits,gluten
0072417143700,Raspberry Flavor Shortcake Cookies,Jammie Dodgers,140g,biscuits,apple|gluten|milk
0072417196379,Shortbread Fingers,Paterson's,"20 units, 300gr ",biscuits,gluten|milk
0078895710922,16000159 LKK Pure Sesame Oil,Lee Kum Kee,207ml,vegetable-oils,Sesamolja|sesame-seeds
0096619338696,Almond Flour Blanched,Kirkland Signature,1.36 kg,flours,Farine|nuts
0112111211111,trail mix mountain,Eatz,284 g,nuts,milk|nuts|peanuts|soybeans
0196633939791,Dried Mangoes,Kirkland,992 g,dried-fruits,
0612322000202,Fruit & Seed Oatcakes,Nairn's,225 g,biscuits,gluten
0631803000425,Medjool Dates,Sun Date,907 g,dried-fruits,
0652655001156,Dark Chocolate Ginger,Border,150 g,chocolates,gluten|milk|soybeans
0799439110564,Extra Virgin Cold-Pressed Avocado Oil,Pure South Press Co,250ml,vegetable-oils,
0815074022915,Avocado Oil Spray,Chosen Foods,13.5oz,vegetable-oils,
0832697000595,Plantain Chips Naturally Sweet,Samai,75 g,dried-fruits,
1230000097048,HAZELNUT BUTTER DARK CHOCOLATE,Hu,60 g,chocolates,nuts
1230000097055,ALMOND BUTTER + CRISPY QUINOA DARK CHOCO,Hu,60 g,chocolates,nuts
1230000097062,NUT BUTTER FILLED CASHEW BUTTER + PURE V,Hu,60g,chocolates,nuts
3045140105502,Milka Alpine Milk Chocolate Bar,Milka,100 g,chocolates,milk|nuts|soybeans
